ERD_No,dataset1_grade,dataset2_grade
137,77.68,91.99
138,81.57,90.86
139,78.14,96.72
140,82.09,96.74
141,79.35,91.93
142,76.69,96.73
143,76.36,93.44
144,80.41,83.31
145,80.86,86.26
146,77.55,85.06
147,75.87,92.32
149,75.84,85.45
150,,89.06
151,76.59,86.91
152,76.98,88.71
153,89.41,86.89
154,83.5,92.74
155,83.39,87.61
156,79.28,89.07
157,75.96,87.99
158,76.59,93.45
159,78.77,86.89
160,76.79,90.17
161,79.2,82.89
162,78.53,90.17
163,76.58,91.48
164,78.81,
165,78.28,96.74
166,80.03,90.88
167,82.47,92.3
169,80.23,84.02
170,81.6,91.56
